payment_intent_id,event_id,ticket_type,gross_amount,fee_amount,tax_amount,discount_amount,net_amount,currency,status,is_refund,refers_payment_intent_id,created_ts
pi_129549190,1056,Senior,19.72,0.99,0.99,0.0,18.73,CAD,captured,0,,2025-07-01T21:56:00
pi_201251869,1056,General,22.7,1.09,1.13,0.0,21.61,CAD,captured,0,,2025-06-20T13:48:00
pi_608133132,1056,VIP,62.61,2.49,3.13,0.0,60.12,CAD,captured,0,,2025-06-23T04:56:00
pi_779230258,1056,Student,13.83,0.78,0.69,0.0,13.05,CAD,captured,0,,2025-06-29T12:24:00
pi_933968017,1056,Student,0.0,0.0,0.0,0.0,-15.83,CAD,refunded,1,pi_495232991,2025-06-20T12:19:00
pi_564785854,1056,General,24.95,1.17,1.25,0.0,23.78,CAD,captured,0,,2025-06-21T23:39:00
pi_551219284,1056,General,27.31,1.26,1.37,0.0,26.05,CAD,captured,0,,2025-06-18T22:22:00
pi_172226465,1056,Senior,18.89,0.96,0.94,2.83,15.1,CAD,captured,0,,2025-06-24T19:48:00
pi_590057262,1056,Student,16.62,0.88,0.83,0.0,15.74,CAD,captured,0,,2025-07-06T02:57:00
pi_198750065,1056,VIP,57.18,2.3,2.86,8.58,46.3,CAD,captured,0,,2025-06-30T17:45:00
pi_363200162,1056,Student,15.37,0.84,0.77,0.0,14.53,CAD,captured,0,,2025-06-30T19:02:00
pi_644533393,1057,Senior,0.0,0.0,0.0,0.0,-16.78,CAD,refunded,1,pi_154000933,2025-07-04T18:59:00
pi_401244641,1057,VIP,59.39,2.38,2.97,0.0,57.01,CAD,captured,0,,2025-07-15T07:30:00
pi_761154287,1057,Senior,18.04,0.93,0.9,0.0,17.11,CAD,captured,0,,2025-07-10T22:25:00
pi_193333494,1057,Student,0.0,0.0,0.0,0.0,-11.37,CAD,refunded,1,pi_716786900,2025-07-04T01:15:00
pi_790782077,1057,VIP,61.67,2.46,3.08,0.0,59.21,CAD,captured,0,,2025-07-04T13:26:00
pi_660454769,1057,General,27.97,1.28,1.4,0.0,26.69,CAD,captured,0,,2025-07-06T17:33:00
pi_365734550,1057,General,24.42,1.15,1.22,0.0,23.27,CAD,captured,0,,2025-07-14T02:16:00
pi_683099522,1057,General,25.89,1.21,1.29,0.0,24.68,CAD,captured,0,,2025-07-11T14:30:00
pi_794050286,1057,Senior,19.74,0.99,0.99,2.96,15.79,CAD,captured,0,,2025-07-09T07:31:00
pi_888166198,1057,General,24.09,1.14,1.2,0.0,22.95,CAD,captured,0,,2025-07-04T09:34:00
pi_446388741,1057,VIP,61.11,2.44,3.06,0.0,58.67,CAD,captured,0,,2025-07-05T08:46:00
pi_201231354,1057,General,28.28,1.29,1.41,4.24,22.75,CAD,captured,0,,2025-07-13T03:28:00
pi_358609275,1057,VIP,56.98,2.29,2.85,0.0,54.69,CAD,captured,0,,2025-07-14T00:39:00
pi_215268250,1057,Student,15.81,0.85,0.79,2.37,12.59,CAD,captured,0,,2025-07-02T03:53:00
pi_287611638,1057,Student,15.7,0.85,0.78,0.0,14.85,CAD,captured,0,,2025-07-04T11:40:00
pi_885940750,1057,VIP,64.06,2.54,3.2,0.0,61.52,CAD,captured,0,,2025-07-06T12:03:00
pi_862303979,1057,VIP,61.17,2.44,3.06,9.18,49.55,CAD,captured,0,,2025-07-07T01:04:00
pi_690735770,1057,Senior,15.3,0.84,0.77,0.0,14.46,CAD,captured,0,,2025-07-16T03:46:00
pi_561851305,1057,VIP,60.55,2.42,3.03,0.0,58.13,CAD,captured,0,,2025-07-07T08:33:00
pi_217707500,1057,VIP,61.77,2.46,3.09,0.0,59.31,CAD,captured,0,,2025-07-07T11:35:00
pi_443010953,1057,Senior,16.36,0.87,0.82,0.0,15.49,CAD,captured,0,,2025-07-01T15:15:00
pi_951961035,1057,Senior,17.39,0.91,0.87,2.61,13.87,CAD,captured,0,,2025-06-30T06:43:00
pi_655527596,1057,General,27.99,1.28,1.4,4.2,22.51,CAD,captured,0,,2025-07-06T05:37:00
pi_372252895,1057,General,25.24,1.18,1.26,0.0,24.06,CAD,captured,0,,2025-07-15T17:11:00
pi_253136722,1057,Senior,21.52,1.05,1.08,0.0,20.47,CAD,captured,0,,2025-07-14T15:37:00
pi_977121853,1057,VIP,60.69,2.42,3.03,0.0,58.27,CAD,captured,0,,2025-07-18T00:28:00
pi_514799069,1057,Senior,19.62,0.99,0.98,0.0,18.63,CAD,captured,0,,2025-07-03T05:42:00
pi_755778166,1057,VIP,0.0,0.0,0.0,0.0,-55.36,CAD,refunded,1,pi_886703059,2025-07-04T00:20:00
pi_224882042,1057,VIP,60.8,2.43,3.04,0.0,58.37,CAD,captured,0,,2025-07-01T12:18:00
pi_115772096,1057,VIP,58.59,2.35,2.93,8.79,47.45,CAD,captured,0,,2025-07-15T20:08:00
pi_678105818,1057,Student,11.03,0.69,0.55,0.0,10.34,CAD,captured,0,,2025-07-05T18:55:00
pi_221449783,1057,General,25.07,1.18,1.25,0.0,23.89,CAD,captured,0,,2025-07-16T07:05:00
pi_399711264,1057,General,28.2,1.29,1.41,0.0,26.91,CAD,captured,0,,2025-07-18T15:50:00
pi_748478635,1057,Student,14.08,0.79,0.7,0.0,13.29,CAD,captured,0,,2025-07-17T11:22:00
pi_865362773,1057,Student,13.11,0.76,0.66,0.0,12.35,CAD,captured,0,,2025-07-06T23:34:00
pi_890558382,1057,Student,17.05,0.9,0.85,0.0,16.15,CAD,captured,0,,2025-07-07T02:00:00
pi_243731526,1057,General,24.09,1.14,1.2,3.61,19.34,CAD,captured,0,,2025-07-05T00:29:00
pi_444206370,1057,VIP,59.56,2.38,2.98,0.0,57.18,CAD,captured,0,,2025-06-30T16:12:00
pi_820069655,1057,VIP,61.32,2.45,3.07,0.0,58.87,CAD,captured,0,,2025-07-15T12:31:00
pi_127237015,1057,VIP,58.04,2.33,2.9,0.0,55.71,CAD,captured,0,,2025-07-09T07:07:00
pi_140703057,1057,VIP,59.79,2.39,2.99,8.97,48.43,CAD,captured,0,,2025-07-15T02:11:00
pi_206901035,1057,General,24.35,1.15,1.22,0.0,23.2,CAD,captured,0,,2025-07-16T08:41:00
pi_842635301,1057,Senior,16.4,0.87,0.82,2.46,13.07,CAD,captured,0,,2025-07-12T01:42:00
pi_127040714,1057,Senior,20.17,1.01,1.01,0.0,19.16,CAD,captured,0,,2025-07-16T15:07:00
pi_910202791,1057,VIP,61.55,2.45,3.08,0.0,59.1,CAD,captured,0,,2025-07-03T04:37:00
pi_454274152,1057,VIP,62.46,2.49,3.12,9.37,50.6,CAD,captured,0,,2025-07-09T16:25:00
pi_670637315,1057,Student,18.0,0.93,0.9,0.0,17.07,CAD,captured,0,,2025-07-02T14:12:00
pi_228432804,1057,Senior,0.0,0.0,0.0,0.0,-20.92,CAD,refunded,1,pi_148117113,2025-07-02T00:56:00
pi_535332087,1057,Senior,0.0,0.0,0.0,0.0,-18.81,CAD,refunded,1,pi_341418402,2025-07-15T05:34:00
pi_496587163,1057,General,25.25,1.18,1.26,0.0,24.07,CAD,captured,0,,2025-07-08T14:00:00
pi_151515039,1057,Senior,0.0,0.0,0.0,0.0,-15.71,CAD,refunded,1,pi_246728591,2025-07-15T01:14:00
pi_139850546,1057,VIP,62.95,2.5,3.15,0.0,60.45,CAD,captured,0,,2025-07-16T09:55:00
pi_603896376,1057,Student,15.5,0.84,0.78,0.0,14.66,CAD,captured,0,,2025-07-10T16:02:00
pi_760801558,1057,VIP,61.85,2.46,3.09,0.0,59.39,CAD,captured,0,,2025-07-01T02:01:00
pi_116177788,1057,Student,16.23,0.87,0.81,0.0,15.36,CAD,captured,0,,2025-07-12T20:05:00
pi_380987086,1057,General,27.55,1.26,1.38,0.0,26.29,CAD,captured,0,,2025-07-14T23:17:00
pi_409124130,1057,General,25.73,1.2,1.29,0.0,24.53,CAD,captured,0,,2025-07-06T19:59:00
pi_164333067,1057,Student,13.9,0.79,0.69,0.0,13.11,CAD,captured,0,,2025-07-15T00:07:00
pi_539271772,1057,Senior,19.3,0.98,0.97,0.0,18.32,CAD,captured,0,,2025-07-08T10:37:00
pi_567730918,1057,VIP,54.49,2.21,2.72,0.0,52.28,CAD,captured,0,,2025-07-12T09:31:00
pi_272184248,1057,VIP,62.7,2.49,3.14,0.0,60.21,CAD,captured,0,,2025-07-09T20:23:00
pi_704266458,1057,Student,13.14,0.76,0.66,0.0,12.38,CAD,captured,0,,2025-07-09T22:59:00
pi_816300131,1057,General,25.25,1.18,1.26,0.0,24.07,CAD,captured,0,,2025-07-16T20:52:00
pi_731298700,1057,Student,0.0,0.0,0.0,0.0,-16.13,CAD,refunded,1,pi_483027486,2025-07-11T04:51:00
pi_107262234,1057,VIP,61.99,2.47,3.1,0.0,59.52,CAD,captured,0,,2025-07-13T20:37:00
pi_156721074,1057,Student,13.87,0.79,0.69,0.0,13.08,CAD,captured,0,,2025-07-10T02:32:00
pi_661616482,1057,Student,13.56,0.77,0.68,2.03,10.76,CAD,captured,0,,2025-07-15T01:28:00
pi_190124794,1057,Senior,18.07,0.93,0.9,0.0,17.14,CAD,captured,0,,2025-07-02T07:02:00
pi_414444928,1057,General,27.5,1.26,1.37,0.0,26.24,CAD,captured,0,,2025-07-01T21:28:00
pi_362849670,1057,Senior,19.87,1.0,0.99,0.0,18.87,CAD,captured,0,,2025-07-03T23:04:00
pi_951605026,1057,Senior,17.11,0.9,0.86,2.57,13.64,CAD,captured,0,,2025-07-13T19:29:00
pi_873093039,1057,Senior,19.31,0.98,0.97,0.0,18.33,CAD,captured,0,,2025-07-15T17:13:00
pi_456567749,1057,Student,15.95,0.86,0.8,0.0,15.09,CAD,captured,0,,2025-07-10T08:05:00
pi_390483495,1057,General,0.0,0.0,0.0,0.0,-28.2,CAD,refunded,1,pi_254389501,2025-07-12T11:31:00
pi_585326805,1057,Student,17.21,0.9,0.86,0.0,16.31,CAD,captured,0,,2025-07-11T02:40:00
pi_316977055,1057,Senior,17.99,0.93,0.9,0.0,17.06,CAD,captured,0,,2025-07-08T16:54:00
pi_833981251,1057,Senior,13.93,0.79,0.7,0.0,13.14,CAD,captured,0,,2025-07-16T14:02:00
pi_820703615,1057,Senior,17.89,0.93,0.89,0.0,16.96,CAD,captured,0,,2025-07-12T02:45:00
pi_273240625,1057,Student,14.46,0.81,0.72,0.0,13.65,CAD,captured,0,,2025-07-01T09:11:00
pi_476622995,1057,VIP,63.05,2.51,3.15,9.46,51.08,CAD,captured,0,,2025-07-04T23:27:00
pi_372311898,1057,VIP,58.96,2.36,2.95,0.0,56.6,CAD,captured,0,,2025-07-18T06:13:00
pi_362470358,1057,Student,11.53,0.7,0.58,0.0,10.83,CAD,captured,0,,2025-07-12T07:14:00
pi_947289664,1057,VIP,58.06,2.33,2.9,0.0,55.73,CAD,captured,0,,2025-07-13T05:07:00
pi_265507365,1057,Senior,18.11,0.93,0.91,0.0,17.18,CAD,captured,0,,2025-07-15T20:56:00
pi_954880758,1057,Student,14.77,0.82,0.74,0.0,13.95,CAD,captured,0,,2025-06-30T07:55:00
pi_299880161,1057,General,23.75,1.13,1.19,0.0,22.62,CAD,captured,0,,2025-07-16T10:00:00
pi_466649957,1057,Senior,17.45,0.91,0.87,2.62,13.92,CAD,captured,0,,2025-07-08T14:25:00
pi_272472211,1057,Senior,20.79,1.03,1.04,0.0,19.76,CAD,captured,0,,2025-07-09T02:14:00
pi_881166393,1057,Senior,18.28,0.94,0.91,0.0,17.34,CAD,captured,0,,2025-07-05T15:58:00
pi_902384690,1057,General,24.24,1.15,1.21,0.0,23.09,CAD,captured,0,,2025-07-12T08:47:00
pi_407075057,1057,Student,15.07,0.83,0.75,2.26,11.98,CAD,captured,0,,2025-07-12T20:50:00
pi_764283967,1057,General,24.83,1.17,1.24,0.0,23.66,CAD,captured,0,,2025-07-12T13:53:00
pi_657053894,1057,General,26.96,1.24,1.35,0.0,25.72,CAD,captured,0,,2025-07-15T15:09:00
pi_358659140,1057,Student,12.97,0.75,0.65,0.0,12.22,CAD,captured,0,,2025-07-10T11:48:00
pi_403510420,1057,Student,0.0,0.0,0.0,0.0,-12.17,CAD,refunded,1,pi_756626461,2025-07-07T06:01:00
pi_653519710,1057,Student,10.64,0.67,0.53,0.0,9.97,CAD,captured,0,,2025-07-11T11:19:00
pi_794572944,1057,Student,17.36,0.91,0.87,0.0,16.45,CAD,captured,0,,2025-07-15T03:52:00
pi_927409715,1057,Student,16.11,0.86,0.81,0.0,15.25,CAD,captured,0,,2025-07-04T01:30:00
pi_420994084,1057,General,26.14,1.21,1.31,0.0,24.93,CAD,captured,0,,2025-07-02T21:53:00
pi_777800905,1057,General,26.17,1.22,1.31,3.93,21.02,CAD,captured,0,,2025-07-04T16:37:00
pi_489089827,1057,Senior,18.02,0.93,0.9,0.0,17.09,CAD,captured,0,,2025-07-17T01:22:00
pi_250251597,1057,VIP,57.86,2.33,2.89,8.68,46.85,CAD,captured,0,,2025-07-12T20:43:00
pi_159058629,1057,General,27.12,1.25,1.36,0.0,25.87,CAD,captured,0,,2025-07-07T10:48:00
pi_734634734,1057,Senior,18.09,0.93,0.9,0.0,17.16,CAD,captured,0,,2025-07-08T00:29:00
pi_392041066,1057,Student,15.13,0.83,0.76,0.0,14.3,CAD,captured,0,,2025-07-12T14:11:00
pi_328460314,1057,VIP,61.72,2.46,3.09,0.0,59.26,CAD,captured,0,,2025-07-13T12:53:00
pi_428748699,1057,General,22.56,1.09,1.13,0.0,21.47,CAD,captured,0,,2025-07-03T02:28:00
pi_951595064,1057,Student,14.08,0.79,0.7,0.0,13.29,CAD,captured,0,,2025-07-03T10:24:00
pi_517443379,1057,Senior,0.0,0.0,0.0,0.0,-18.62,CAD,refunded,1,pi_624543912,2025-07-11T13:02:00
pi_140697609,1057,VIP,60.95,2.43,3.05,0.0,58.52,CAD,captured,0,,2025-07-04T23:11:00
pi_986947180,1057,Senior,18.86,0.96,0.94,2.83,15.07,CAD,captured,0,,2025-07-17T04:21:00
pi_304833494,1057,Senior,16.47,0.88,0.82,0.0,15.59,CAD,captured,0,,2025-07-10T14:35:00
pi_708563517,1057,VIP,61.12,2.44,3.06,0.0,58.68,CAD,captured,0,,2025-06-30T19:08:00
pi_218508102,1057,General,21.84,1.06,1.09,3.28,17.5,CAD,captured,0,,2025-07-08T19:04:00
pi_174286665,1057,General,29.22,1.32,1.46,0.0,27.9,CAD,captured,0,,2025-07-09T16:39:00
pi_990846455,1057,General,24.93,1.17,1.25,0.0,23.76,CAD,captured,0,,2025-07-06T00:07:00
pi_232537805,1057,VIP,62.26,2.48,3.11,9.34,50.44,CAD,captured,0,,2025-07-17T01:28:00
pi_539503206,1057,Student,16.03,0.86,0.8,0.0,15.17,CAD,captured,0,,2025-07-14T01:27:00
pi_524952985,1057,VIP,0.0,0.0,0.0,0.0,-59.97,CAD,refunded,1,pi_355793770,2025-07-04T18:58:00
pi_720992127,1057,General,25.66,1.2,1.28,3.85,20.61,CAD,captured,0,,2025-07-16T12:25:00
pi_273826633,1057,General,22.63,1.09,1.13,0.0,21.54,CAD,captured,0,,2025-07-01T05:49:00
pi_208372726,1057,VIP,61.4,2.45,3.07,0.0,58.95,CAD,captured,0,,2025-07-15T07:00:00
pi_504449278,1057,General,24.93,1.17,1.25,0.0,23.76,CAD,captured,0,,2025-07-13T10:53:00
pi_218330177,1057,General,24.2,1.15,1.21,0.0,23.05,CAD,captured,0,,2025-07-10T12:49:00
pi_564739017,1057,General,25.74,1.2,1.29,0.0,24.54,CAD,captured,0,,2025-07-18T16:38:00
pi_252585462,1057,VIP,63.2,2.51,3.16,0.0,60.69,CAD,captured,0,,2025-07-04T18:24:00
pi_971270831,1057,Student,20.49,1.02,1.02,3.07,16.4,CAD,captured,0,,2025-07-03T01:44:00
pi_788308664,1057,Senior,15.91,0.86,0.8,0.0,15.05,CAD,captured,0,,2025-07-14T08:25:00
pi_458190773,1057,Student,16.04,0.86,0.8,0.0,15.18,CAD,captured,0,,2025-06-30T05:09:00
pi_942988451,1057,Student,12.93,0.75,0.65,0.0,12.18,CAD,captured,0,,2025-07-13T00:11:00
pi_208733204,1057,VIP,0.0,0.0,0.0,0.0,-49.89,CAD,refunded,1,pi_418739821,2025-07-17T14:47:00
pi_780354991,1057,General,25.12,1.18,1.26,0.0,23.94,CAD,captured,0,,2025-07-07T17:51:00
pi_562830833,1057,Senior,18.52,0.95,0.93,0.0,17.57,CAD,captured,0,,2025-07-17T03:15:00
pi_804970953,1057,General,23.26,1.11,1.16,3.49,18.66,CAD,captured,0,,2025-07-03T13:26:00
pi_541557909,1057,General,23.21,1.11,1.16,0.0,22.1,CAD,captured,0,,2025-07-08T04:04:00
pi_768698953,1057,General,24.18,1.15,1.21,0.0,23.03,CAD,captured,0,,2025-07-02T19:32:00
pi_179216202,1057,Student,14.87,0.82,0.74,0.0,14.05,CAD,captured,0,,2025-07-07T13:39:00
pi_359251401,1057,Senior,16.89,0.89,0.84,0.0,16.0,CAD,captured,0,,2025-07-10T12:37:00
pi_579034278,1057,Student,13.83,0.78,0.69,0.0,13.05,CAD,captured,0,,2025-07-05T10:24:00
pi_153725081,1057,Senior,19.55,0.98,0.98,0.0,18.57,CAD,captured,0,,2025-07-10T03:36:00
pi_521993376,1057,General,27.03,1.25,1.35,0.0,25.78,CAD,captured,0,,2025-07-14T03:04:00
pi_225627310,1057,Senior,16.1,0.86,0.8,0.0,15.24,CAD,captured,0,,2025-07-10T07:08:00
pi_502447847,1057,Senior,17.71,0.92,0.89,0.0,16.79,CAD,captured,0,,2025-07-05T12:03:00
pi_818879620,1057,General,22.45,1.09,1.12,0.0,21.36,CAD,captured,0,,2025-07-15T07:24:00
pi_264643357,1057,Student,14.72,0.82,0.74,2.21,11.69,CAD,captured,0,,2025-07-15T10:48:00
pi_670484884,1057,Senior,19.15,0.97,0.96,0.0,18.18,CAD,captured,0,,2025-07-09T01:56:00
pi_755455713,1057,Senior,17.82,0.92,0.89,0.0,16.9,CAD,captured,0,,2025-07-01T04:45:00
pi_951785554,1057,General,26.06,1.21,1.3,0.0,24.85,CAD,captured,0,,2025-07-01T17:35:00
pi_328874506,1057,Senior,18.52,0.95,0.93,2.78,14.79,CAD,captured,0,,2025-07-07T13:57:00
pi_176934412,1057,Senior,19.62,0.99,0.98,0.0,18.63,CAD,captured,0,,2025-07-14T11:38:00
pi_375038374,1057,Senior,15.91,0.86,0.8,0.0,15.05,CAD,captured,0,,2025-07-16T20:23:00
pi_247209478,1057,General,26.43,1.22,1.32,0.0,25.21,CAD,captured,0,,2025-07-03T10:22:00
pi_590151201,1057,VIP,55.16,2.23,2.76,8.27,44.66,CAD,captured,0,,2025-07-10T06:22:00
pi_470231094,1057,Student,16.88,0.89,0.84,0.0,15.99,CAD,captured,0,,2025-07-10T17:48:00
pi_855119038,1057,Student,13.12,0.76,0.66,0.0,12.36,CAD,captured,0,,2025-07-11T22:20:00
pi_134470149,1057,General,29.23,1.32,1.46,0.0,27.91,CAD,captured,0,,2025-07-10T18:19:00
pi_848966528,1057,General,24.19,1.15,1.21,0.0,23.04,CAD,captured,0,,2025-07-12T05:14:00
pi_163695230,1057,Student,16.18,0.87,0.81,0.0,15.31,CAD,captured,0,,2025-07-14T18:22:00
pi_602452658,1057,VIP,62.39,2.48,3.12,0.0,59.91,CAD,captured,0,,2025-07-01T07:05:00
pi_747489358,1057,Senior,15.44,0.84,0.77,0.0,14.6,CAD,captured,0,,2025-07-16T22:04:00
pi_493235101,1057,VIP,61.43,2.45,3.07,0.0,58.98,CAD,captured,0,,2025-07-07T13:58:00
pi_205808800,1057,Senior,19.33,0.98,0.97,0.0,18.35,CAD,captured,0,,2025-07-06T08:36:00
pi_722295139,1057,Student,13.96,0.79,0.7,0.0,13.17,CAD,captured,0,,2025-07-11T10:42:00
pi_225685793,1057,VIP,60.57,2.42,3.03,0.0,58.15,CAD,captured,0,,2025-07-01T21:11:00
pi_810644958,1057,Senior,19.27,0.97,0.96,0.0,18.3,CAD,captured,0,,2025-06-30T22:45:00
pi_740624192,1057,General,24.47,1.16,1.22,0.0,23.31,CAD,captured,0,,2025-07-07T05:13:00
pi_197819930,1057,General,22.38,1.08,1.12,0.0,21.3,CAD,captured,0,,2025-07-02T08:20:00
pi_423911280,1057,Senior,17.08,0.9,0.85,0.0,16.18,CAD,captured,0,,2025-07-12T20:18:00
pi_668329357,1057,Senior,20.11,1.0,1.01,0.0,19.11,CAD,captured,0,,2025-07-13T18:01:00
pi_834920658,1057,Senior,16.75,0.89,0.84,0.0,15.86,CAD,captured,0,,2025-07-09T00:01:00
pi_168957229,1057,Student,11.84,0.71,0.59,0.0,11.13,CAD,captured,0,,2025-07-04T07:44:00
pi_929094931,1057,General,23.19,1.11,1.16,0.0,22.08,CAD,captured,0,,2025-07-04T02:29:00
pi_614937499,1057,VIP,63.57,2.52,3.18,0.0,61.05,CAD,captured,0,,2025-07-18T09:19:00
pi_800678350,1057,VIP,62.43,2.49,3.12,0.0,59.94,CAD,captured,0,,2025-07-12T02:25:00
pi_373791290,1057,General,0.0,0.0,0.0,0.0,-23.88,CAD,refunded,1,pi_336242416,2025-07-04T05:31:00
pi_161977244,1057,General,22.02,1.07,1.1,0.0,20.95,CAD,captured,0,,2025-07-03T17:41:00
pi_902995908,1057,VIP,0.0,0.0,0.0,0.0,-58.37,CAD,refunded,1,pi_834960018,2025-07-11T14:29:00
pi_613944838,1057,General,24.65,1.16,1.23,0.0,23.49,CAD,captured,0,,2025-07-14T21:11:00
pi_345129715,1057,General,23.0,1.11,1.15,0.0,21.89,CAD,captured,0,,2025-07-10T06:36:00
pi_561223929,1057,Student,17.76,0.92,0.89,0.0,16.84,CAD,captured,0,,2025-07-01T11:07:00
pi_409129060,1057,Senior,22.92,1.1,1.15,0.0,21.82,CAD,captured,0,,2025-07-11T20:28:00
pi_263539886,1057,Senior,16.8,0.89,0.84,0.0,15.91,CAD,captured,0,,2025-07-11T03:39:00
pi_611136999,1057,Student,13.18,0.76,0.66,0.0,12.42,CAD,captured,0,,2025-07-08T18:09:00
pi_207837186,1057,VIP,58.19,2.34,2.91,8.73,47.12,CAD,captured,0,,2025-07-01T16:12:00
pi_369706562,1057,VIP,0.0,0.0,0.0,0.0,-55.61,CAD,refunded,1,pi_764595683,2025-07-04T20:41:00
pi_371242079,1057,Senior,17.57,0.91,0.88,0.0,16.66,CAD,captured,0,,2025-07-12T19:44:00
pi_341218105,1057,Senior,19.39,0.98,0.97,0.0,18.41,CAD,captured,0,,2025-07-05T11:24:00
pi_103163855,1057,VIP,63.07,2.51,3.15,0.0,60.56,CAD,captured,0,,2025-06-30T21:29:00
pi_718893880,1057,Student,13.45,0.77,0.67,2.02,10.66,CAD,captured,0,,2025-07-07T19:13:00
pi_934172751,1057,Senior,15.22,0.83,0.76,0.0,14.39,CAD,captured,0,,2025-07-03T17:15:00
pi_203934557,1057,Student,0.0,0.0,0.0,0.0,-11.96,CAD,refunded,1,pi_952203173,2025-06-30T19:14:00
pi_144709121,1057,General,25.01,1.18,1.25,0.0,23.83,CAD,captured,0,,2025-07-06T17:00:00
pi_319075991,1057,VIP,59.12,2.37,2.96,0.0,56.75,CAD,captured,0,,2025-07-15T08:13:00
pi_653437983,1057,General,24.46,1.16,1.22,0.0,23.3,CAD,captured,0,,2025-07-08T15:55:00
pi_808170537,1058,Student,12.09,0.72,0.6,0.0,11.37,CAD,captured,0,,2025-07-06T10:46:00
pi_495512071,1058,Student,16.04,0.86,0.8,0.0,15.18,CAD,captured,0,,2025-07-16T13:43:00
pi_851777280,1058,Student,13.5,0.77,0.67,0.0,12.73,CAD,captured,0,,2025-07-10T23:27:00
pi_555587371,1058,VIP,62.73,2.5,3.14,9.41,50.82,CAD,captured,0,,2025-07-08T00:53:00
pi_169180919,1058,Senior,14.73,0.82,0.74,0.0,13.91,CAD,captured,0,,2025-07-16T12:27:00
pi_472668136,1058,VIP,56.47,2.28,2.82,0.0,54.19,CAD,captured,0,,2025-07-03T10:00:00
pi_953211776,1058,General,24.77,1.17,1.24,3.72,19.88,CAD,captured,0,,2025-07-03T10:54:00
pi_608901644,1058,VIP,61.1,2.44,3.05,0.0,58.66,CAD,captured,0,,2025-07-09T14:58:00
pi_817459975,1058,VIP,0.0,0.0,0.0,0.0,-57.8,CAD,refunded,1,pi_378816337,2025-07-16T00:25:00
pi_765648605,1058,General,25.24,1.18,1.26,0.0,24.06,CAD,captured,0,,2025-07-14T08:44:00
pi_252502486,1058,Senior,19.96,1.0,1.0,0.0,18.96,CAD,captured,0,,2025-07-11T05:12:00
pi_693440783,1058,VIP,61.79,2.46,3.09,0.0,59.33,CAD,captured,0,,2025-07-16T16:01:00
pi_291086374,1058,Senior,20.66,1.02,1.03,3.1,16.54,CAD,captured,0,,2025-07-13T22:00:00
pi_232533452,1058,Student,14.77,0.82,0.74,2.22,11.73,CAD,captured,0,,2025-07-05T04:11:00
pi_344315868,1058,Senior,19.88,1.0,0.99,0.0,18.88,CAD,captured,0,,2025-07-17T01:40:00
pi_739491958,1058,General,21.56,1.05,1.08,0.0,20.51,CAD,captured,0,,2025-07-08T21:08:00
pi_749836460,1058,General,23.55,1.12,1.18,0.0,22.43,CAD,captured,0,,2025-07-15T00:57:00
pi_857250981,1058,Senior,16.05,0.86,0.8,0.0,15.19,CAD,captured,0,,2025-07-08T18:48:00
pi_450211663,1058,VIP,61.4,2.45,3.07,0.0,58.95,CAD,captured,0,,2025-07-20T16:58:00
pi_246602866,1058,Student,14.23,0.8,0.71,0.0,13.43,CAD,captured,0,,2025-07-19T00:48:00
pi_323034950,1058,VIP,61.82,2.46,3.09,0.0,59.36,CAD,captured,0,,2025-07-15T23:05:00
pi_894986701,1058,VIP,60.57,2.42,3.03,9.09,49.06,CAD,captured,0,,2025-07-02T02:40:00
pi_977094695,1058,VIP,60.12,2.4,3.01,0.0,57.72,CAD,captured,0,,2025-07-08T10:26:00
pi_453205578,1058,Student,15.09,0.83,0.75,0.0,14.26,CAD,captured,0,,2025-07-09T04:00:00
pi_976440262,1058,Senior,17.62,0.92,0.88,0.0,16.7,CAD,captured,0,,2025-07-19T15:11:00
pi_414580520,1058,Senior,15.4,0.84,0.77,0.0,14.56,CAD,captured,0,,2025-07-16T13:14:00
pi_717682622,1058,VIP,61.61,2.46,3.08,0.0,59.15,CAD,captured,0,,2025-07-02T08:07:00
pi_397026711,1058,VIP,66.0,2.61,3.3,0.0,63.39,CAD,captured,0,,2025-07-05T03:45:00
pi_407867966,1058,Senior,21.62,1.06,1.08,0.0,20.56,CAD,captured,0,,2025-07-11T02:23:00
pi_699707668,1058,Student,14.13,0.79,0.71,0.0,13.34,CAD,captured,0,,2025-07-07T02:12:00
pi_716351162,1058,General,24.09,1.14,1.2,0.0,22.95,CAD,captured,0,,2025-07-14T03:36:00
pi_847124704,1058,General,23.43,1.12,1.17,0.0,22.31,CAD,captured,0,,2025-07-14T03:47:00
pi_189597986,1058,Student,10.81,0.68,0.54,0.0,10.13,CAD,captured,0,,2025-07-20T13:10:00
pi_233448066,1058,VIP,62.22,2.48,3.11,9.33,50.41,CAD,captured,0,,2025-07-02T05:23:00
pi_211773896,1058,Senior,15.45,0.84,0.77,0.0,14.61,CAD,captured,0,,2025-07-16T21:23:00
pi_847750302,1058,VIP,59.97,2.4,3.0,0.0,57.57,CAD,captured,0,,2025-07-16T01:16:00
pi_811116759,1058,Senior,19.19,0.97,0.96,0.0,18.22,CAD,captured,0,,2025-07-17T15:03:00
pi_473178265,1058,General,24.98,1.17,1.25,0.0,23.81,CAD,captured,0,,2025-07-14T05:43:00
pi_725732959,1058,Student,15.63,0.85,0.78,2.35,12.43,CAD,captured,0,,2025-07-08T13:23:00
